source_id,source_title,source_path,source_level,target_id,target_title,target_path,target_level
500,"Samsung ",1/2/4/500,3,500,"For Samsung Galaxy Trend Plus S7580",1/2/90/116/500,4
207,"smartphone ",1/2/4/500/207,4,,,,
208,"Samsung Tablet",1/2/4/500/208,4,,,,
521,"Samsung SM-G928F S6 Edge Plus",1/2/4/500/207/521,5,521,"For HTC Desire 601",1/2/89/94/156/521,5
528,"Samsung SM-G935F S7 Edge",1/2/4/500/207/528,5,528,"For LG Nexus 5X",1/2/89/94/157/528,5
531,"Samsung SM-J100F J1 (2015)",1/2/4/500/207/531,5,531,"For LG G2",1/2/89/94/157/531,5
534,"Samsung SM-A310F A3 (2016)",1/2/4/500/207/534,5,534,"For LG Optimus L7",1/2/89/94/157/534,5
540,"Samsung Galaxy Tab S 8.4 SM-T700/705",1/2/4/500/208/540,5,540,"For Sony Xperia X",1/2/89/94/127/540,5
541,"Samsung SM-T700 Tab S 8.4",1/2/4/500/208/541,5,541,"For Sony Xperia X Performance",1/2/89/94/127/541,5
542,"Samsung SM-T555 Galaxy Tab A 9.7 3G/LTE",1/2/4/500/208/542,5,542,"For Sony Xperia XZ",1/2/89/94/127/542,5
543,"Samsung GT-P7500 Tab 10.1 3G",1/2/4/500/208/543,5,543,"For Sony Xperia X Compact",1/2/89/94/127/543,5
547,"Samsung SM-G903F S5 Neo",1/2/4/500/207/547,5,547,"For Sony Xperia Z5 Compact",1/2/89/94/127/547,5
550,"Samsung SM-J500F J5 (2015)",1/2/4/500/207/550,5,550,"For Sony Xperia M4",1/2/89/94/127/550,5
519,"Battery for tablet ",1/2/4/500/208/519,5,519,"For HTC Desire X",1/2/89/94/156/519,5
506,"Samsung Tab 3 P5220",1/2/4/500/208/506,5,506,"For HTC Desire 10 Lifestyle",1/2/89/94/156/506,5
262,"Samsung Galaxy Tab 2.10.1 P5100",1/2/4/500/208/262,5,262,"For iPad",1/2/91/131/262,4
263,"Samsung Galaxy Tab 3 T210",1/2/4/500/208/263,5,263,"For Samsung",1/2/91/131/263,4
264,"Samsung Galaxy Tab 3.10.1 P5210",1/2/4/500/208/264,5,264,"For Amazon Kindle",1/2/91/131/264,4
265,"Samsung Galaxy Tab 4.10.1 ",1/2/4/500/208/265,5,265,"For Acer",1/2/91/131/265,4
266,"Samsung galaxy Tab 4.7.0",1/2/4/500/208/266,5,266,"For iPad",1/2/91/132/266,4
267," Samsung Tablet 8.0 N5100",1/2/4/500/208/267,5,267,"For Samsung",1/2/91/132/267,4
268,"Samsung SM-A300F A3 (2015)",1/2/4/500/207/268,5,268,"For Amazon Kindle",1/2/91/132/268,4
295,"Galaxy Tab 3 7.0",1/2/4/500/208/295,5,295,"For iPhone 6 Plus",1/2/90/230/295,4
469,"Samsung Tab 3 P5200",1/2/4/500/208/469,5,469,"For Samsung Ace 2 I8160",1/2/89/94/103/469,5
472,"Samsung GT-N915 Note 4 Edge",1/2/4/500/207/472,5,472,"For Samsung SM-A310F A3 (2016)",1/2/90/116/472,4
551,"Samsung SM-A510F A5 (2016)",1/2/4/500/207/551,5,551,"For Sony Xperia Z3 Compact",1/2/89/94/127/551,5
557,"Samsung SM-J120F J1 (2016)",1/2/4/500/207/557,5,557,"For Sony Xperia Z Ultra",1/2/89/94/127/557,5
661,"Samsung SM-J320F J3 (2016)",1/2/4/500/207/661,5,661,"For HTC Desire 601",1/2/89/95/155/661,5
761,"Samsung SM-J530F J5 (2017)",1/2/4/500/207/761,5,761,"For Samsung Galaxy S3 LTE",1/2/89/99/191/761,5
771,"Samsung SM-G960F S9",1/2/4/500/207/771,5,771,"For Samsung Galaxy Note Edge",1/2/89/99/191/771,5
772,"Samsung SM-G965F S9 Plus",1/2/4/500/207/772,5,772,"For Samsung Galaxy Note 1",1/2/89/99/191/772,5
778,"Samsung SM-A530F A8 (2018)",1/2/4/500/207/778,5,778,"For Samsung Galaxy Trend Plus S7580",1/2/89/99/191/778,5
792,"Samsung GT-i9000 Galaxy S ",1/2/4/500/207/792,5,792,"For HTC One S",1/2/89/99/192/792,5
807,"Samsung G531",1/2/4/500/207/807,5,807,"For LG Nexus 5",1/2/89/99/193/807,5
808,"Other Samsung Parts",1/2/4/500/207/808,5,808,"For LG Nexus 4",1/2/89/99/193/808,5
821,"Samsung SM-T810",1/2/4/500/208/821,5,821,"For Sony Xperia X Compact",1/2/89/99/196/821,5
822,"Samsung SM-T815",1/2/4/500/208/822,5,822,"For Sony Xperia E5",1/2/89/99/196/822,5
842,"SAMSUNG GALAXY TAB 8.9 P7300",1/2/4/500/208/842,5,842,"For Nokia Lumia 925",1/2/89/99/195/842,5
748,"Samsung SM-J330F J3 (2017)",1/2/4/500/207/748,5,748,"For Samsung SM-G920F S6",1/2/89/99/191/748,5
746,"Samsung SM-J310F J3 (2016)",1/2/4/500/207/746,5,746,"For Samsung SM-G928F S6 Edge Plus",1/2/89/99/191/746,5
662,"Samsung SM-J510F J5 (2016)",1/2/4/500/207/662,5,662,"For HTC 8X",1/2/89/95/155/662,5
663,"Samsung Tab S 10.1"" SM-T800/T805",1/2/4/500/208/663,5,663,"For HTC Desire 500",1/2/89/95/155/663,5
664,"Samsung SM-G950F S8",1/2/4/500/207/664,5,664,"For HTC 8S",1/2/89/95/155/664,5
665,"Samsung SM-G955F S8 Plus",1/2/4/500/207/665,5,665,"For LG G5",1/2/89/95/160/665,5
685,"Samsung SM-A320F A3 (2017)",1/2/4/500/207/685,5,685,"For Sony Xperia M5",1/2/89/95/161/685,5
686,"Samsung SM-A520F A5 (2017)",1/2/4/500/207/686,5,686,"For Sony Xperia Z5 Premium",1/2/89/95/161/686,5
696,"Samsung SM-P900/P905 Galaxy Note Pro ",1/2/4/500/208/696,5,696,"For Sony Xperia Z1",1/2/89/95/161/696,5
724,"Samsung SM-N950F Note 8",1/2/4/500/207/724,5,724,"For Huawei Y6 2016",1/2/89/95/163/724,5
744,"Samsung SM-J730F J7 (2017)",1/2/4/500/207/744,5,744,"For Samsung SM-G935F S7 Edge",1/2/89/99/191/744,5
745,"Samsung SM-J710F J7 (2016)",1/2/4/500/207/745,5,745,"For Samsung SM-G930F S7",1/2/89/99/191/745,5
846,"Samsung SM-A730F  A8 Plus (2018)",1/2/4/500/207/846,5,846,"For Nokia Lumia 800",1/2/89/99/195/846,5
261,"Samsung Galaxy Note 10.1 N8000",1/2/4/500/208/261,5,,,,
221,"Samsung N7100 Note 2",1/2/4/500/207/221,5,,,,
245,"Samsung SM-A700F A7 (2015)",1/2/4/500/207/245,5,,,,
244,"Samsung SM-A500F A5 (2014)",1/2/4/500/207/244,5,,,,
239,"Samsung SM-G800F S5 Mini",1/2/4/500/207/239,5,,,,
238,"Samsung SM-G900F S5",1/2/4/500/207/238,5,,,,
237,"Samsung GT-i9506 S4 Plus",1/2/4/500/207/237,5,,,,
236,"Samsung GT-i9195 S4 Mini",1/2/4/500/207/236,5,,,,
235,"Samsung GT-i9505 S4",1/2/4/500/207/235,5,,,,
234,"Samsung GT-i9295 S4 Active",1/2/4/500/207/234,5,,,,
231,"Samsung GT-i9305 S3 LTE",1/2/4/500/207/231,5,,,,
230,"Samsung GT-i9300 S3",1/2/4/500/207/230,5,230,"For iPhone",1/2/90/230,3
225,"Samsung SM-N910F Note 4",1/2/4/500/207/225,5,,,,
223,"Samsung N9005 LTE Note 3",1/2/4/500/207/223,5,,,,
222,"Samsung N7105 Note 2",1/2/4/500/207/222,5,,,,
246,"Samsung SM-G925F S6 Edge",1/2/4/500/207/246,5,,,,
524,"Samsung SM-G930F S7",1/2/4/500/207/524,5,524,"For HTC 8S",1/2/89/94/156/524,5
250,"Samsung SM-G920F S6",1/2/4/500/207/250,5,,,,
259,"Samsung Note 10.1 SM-P605",1/2/4/500/208/259,5,,,,
260,"Samsung Galaxy Tab P1000",1/2/4/500/208/260,5,,,,
258,"Samsung Galaxy Tab GT-P7310",1/2/4/500/208/258,5,,,,
209,"Galaxy Tab 4 8.0 SM-T330",1/2/4/500/208/209,5,,,,
255,"Samsung Galaxy Tab 3 8.0 SM-T310",1/2/4/500/208/255,5,,,,
256,"Samsung Galaxy Tab 4 10.1. SM-T535",1/2/4/500/208/256,5,,,,
257,"Galaxy Tab 4 7.0 SM-T230",1/2/4/500/208/257,5,,,,
219,"Samsung Galaxy Gio S5660",1/2/4/500/207/808/219,6,,,,
220,"Samsung Galaxy Mini S5570",1/2/4/500/207/808/220,6,,,,
215,"Samsung Galaxy Ace S5830",1/2/4/500/207/808/215,6,,,,
229,"Samsung Galaxy GT-i9100 S2 ",1/2/4/500/207/808/229,6,,,,
226,"Samsung Galaxy Note GT-N7000",1/2/4/500/207/808/226,6,,,,
218,"Samsung Galaxy Core Plus",1/2/4/500/207/808/218,6,,,,
217,"Samsung Galaxy Beam i8530",1/2/4/500/207/808/217,6,,,,
211,"Samsung Galaxy 5 I5500",1/2/4/500/207/808/211,6,,,,
840,"Samsung Galaxy Nexus i9250",1/2/4/500/207/808/840,6,840,"For Nokia Lumia 1020",1/2/89/99/195/840,5
839,"Samsung Galaxy S5570",1/2/4/500/207/808/839,6,839,"For Nokia Lumia 1320",1/2/89/99/195/839,5
832,"Samsung G357F Ace 4 ",1/2/4/500/207/808/832,6,832,"For Sony Xperia M2",1/2/89/99/196/832,5
212,"Samsung Galaxy 3 I5800",1/2/4/500/207/808/212,6,,,,
213,"Samsung Ace 2 I8160",1/2/4/500/207/808/213,6,,,,
214,"Samsung Galaxy Ace 4 G357F",1/2/4/500/207/808/214,6,,,,
385,"Samsung Google Nexus S",1/2/4/500/207/808/385,6,385,"For Sony Xperia Z1",1/2/90/122/385,4
794,"Samsung SM-N930F Note 7",1/2/4/500/207/808/794,6,794,"For HTC One Mini",1/2/89/99/192/794,5
216,"Samsung Galaxy Alpha SM-G850F",1/2/4/500/207/808/216,6,,,,
791,"Samsung GT-I8190 Galaxy S3",1/2/4/500/207/808/791,6,791,"For HTC One SV",1/2/89/99/192/791,5
699,"Samsung Galaxy Xcover 2",1/2/4/500/207/808/699,6,699,"For Sony Xperia V",1/2/89/95/161/699,5
227,"Samsung Galaxy S GT-i9000",1/2/4/500/207/808/227,6,,,,
535,"Samsung Galaxy V Plus ",1/2/4/500/207/808/535,6,535,"For LG Optimus G",1/2/89/94/157/535,5
251,"Samsung Galaxy S7562 S Duos",1/2/4/500/207/808/251,6,,,,
249,"Samsung Galaxy S Advance",1/2/4/500/207/808/249,6,,,,
527,"Samsung Galaxy Core Prime",1/2/4/500/207/808/527,6,527,"For LG G3",1/2/89/94/157/527,5
254,"Samsung S8300",1/2/4/500/207/808/254,6,,,,
523,"Samsung F480",1/2/4/500/207/808/523,6,523,"For HTC Desire 500",1/2/89/94/156/523,5
522,"Samsung S8000 Jet",1/2/4/500/207/808/522,6,522,"For HTC 8X",1/2/89/94/156/522,5
247,"Samsung Galaxy Express",1/2/4/500/207/808/247,6,,,,
520,"Samsung Galaxy Grand Prime",1/2/4/500/207/808/520,6,520,"For HTC Desire S",1/2/89/94/156/520,5
243,"Samsung Galaxy Xcover",1/2/4/500/207/808/243,6,,,,
242,"Samsung Galaxy W I8150",1/2/4/500/207/808/242,6,,,,
228,"Samsung Galaxy S II LTE I9210",1/2/4/500/207/808/228,6,,,,
525,"Samsung Galaxy Xcover 3",1/2/4/500/207/808/525,6,525,"For LG G5",1/2/89/94/157/525,5
232,"Samsung Galaxy S3 Mini",1/2/4/500/207/808/232,6,,,,
253,"Samsung M8910 Pixon12",1/2/4/500/207/808/253,6,,,,
430,"Samsung S5230",1/2/4/500/207/808/430,6,430,"For Nokia Lumia 710",1/2/90/413/430,4
252,"Samsung Galaxy Y S5360",1/2/4/500/207/808/252,6,,,,
471,"Samsung Galaxy Note 1",1/2/4/500/207/808/471,6,471,"For Samsung SM-A510F A5 (2016)",1/2/90/116/471,4
240,"Samsung Galaxy Trend Plus S7580",1/2/4/500/207/808/240,6,,,,
241,"Samsung Galaxy Trend S7560",1/2/4/500/207/808/241,6,,,,
248,"Samsung Galaxy Mega ",1/2/4/500/207/808/248,6,,,,
